generateTime,totalInfo,timeZone,type
20210627 17:39:22,"{""allSleepTime"":487,""awakeTime"":25,""daySleepTime"":0,""deepSleepPart"":55,""deepSleepTime"":154,""dreamTime"":75,""fallAsleepTime"":1624783680000,""goBedTime"":1624782629000,""lightSleepTime"":258,""sleepEfficiency"":23,""sleepLatency"":1530000,""sleepScore"":84,""snoreFreq"":1,""validData"":86.16,""wakeupCnt"":1,""wakeupTime"":1624814400000}","""	-0500""",9
20210629 20:08:12,"{""avgRestingHeartRate"":0,""lastHeartRate"":60,""lastRestHeartRate"":0,""maxHeartRate"":113,""minHeartRate"":40}","""	-0500""",7
20210629 22:29:02,"{""allSleepTime"":319,""awakeTime"":0,""daySleepTime"":117,""deepSleepPart"":60,""deepSleepTime"":106,""dreamTime"":47,""fallAsleepTime"":1624863960000,""goBedTime"":1624863463000,""lightSleepTime"":166,""sleepEfficiency"":24,""sleepLatency"":936000,""sleepScore"":71,""snoreFreq"":7,""validData"":89.86,""wakeupCnt"":0,""wakeupTime"":1624883100000}","""	-0500""",9
20210630 23:15:06,"{""allSleepTime"":501,""awakeTime"":23,""daySleepTime"":0,""deepSleepPart"":57,""deepSleepTime"":126,""dreamTime"":141,""fallAsleepTime"":1624950180000,""goBedTime"":1624944823000,""lightSleepTime"":234,""sleepEfficiency"":8,""sleepLatency"":5645000,""sleepScore"":84,""snoreFreq"":1,""validData"":87.25,""wakeupCnt"":2,""wakeupTime"":1624981620000}","""	-0500""",9
20210701 03:27:21,"{""allSleepTime"":365,""awakeTime"":12,""daySleepTime"":87,""deepSleepPart"":59,""deepSleepTime"":122,""dreamTime"":40,""fallAsleepTime"":1625035200000,""goBedTime"":1625031582000,""lightSleepTime"":203,""sleepEfficiency"":8,""sleepLatency"":3934000,""sleepScore"":76,""snoreFreq"":1,""validData"":86.83,""wakeupCnt"":2,""wakeupTime"":1625057820000}","""	-0500""",9
20210701 08:58:21,"{""avgRestingHeartRate"":58,""lastHeartRate"":58,""lastRestHeartRate"":0,""maxHeartRate"":119,""minHeartRate"":41}","""	-0500""",7
20210701 09:50:46,"{""avgRestingHeartRate"":60,""lastHeartRate"":98,""lastRestHeartRate"":0,""maxHeartRate"":186,""minHeartRate"":41}","""	-0500""",7
20210703 04:51:11,"{""allSleepTime"":406,""awakeTime"":18,""daySleepTime"":0,""deepSleepPart"":69,""deepSleepTime"":176,""dreamTime"":40,""fallAsleepTime"":1625127960000,""goBedTime"":1625123955000,""lightSleepTime"":190,""sleepEfficiency"":8,""sleepLatency"":4298000,""sleepScore"":81,""snoreFreq"":5,""validData"":86.84,""wakeupCnt"":1,""wakeupTime"":1625153400000}","""	-0500""",9
20210703 04:51:12,"{""allSleepTime"":435,""awakeTime"":6,""daySleepTime"":0,""deepSleepPart"":64,""deepSleepTime"":148,""dreamTime"":62,""fallAsleepTime"":1625210340000,""goBedTime"":1625208396000,""lightSleepTime"":225,""sleepEfficiency"":14,""sleepLatency"":2418000,""sleepScore"":82,""snoreFreq"":1,""validData"":87.64,""wakeupCnt"":1,""wakeupTime"":1625236800000}","""	-0500""",9
20210703 17:45:58,"{""avgRestingHeartRate"":69,""lastHeartRate"":88,""lastRestHeartRate"":0,""maxHeartRate"":113,""minHeartRate"":46}","""	-0500""",7
20210703 17:45:59,"{""avgRestingHeartRate"":60,""lastHeartRate"":93,""lastRestHeartRate"":0,""maxHeartRate"":119,""minHeartRate"":42}","""	-0500""",7
20210707 16:08:09,"{""avgRestingHeartRate"":69,""lastHeartRate"":68,""lastRestHeartRate"":0,""maxHeartRate"":125,""minHeartRate"":42}","""	-0500""",7
20210710 11:06:15,"{""avgRestingHeartRate"":68,""lastHeartRate"":88,""lastRestHeartRate"":0,""maxHeartRate"":113,""minHeartRate"":43}","""	-0500""",7
