recordDay,timeZone,sportType,sportBasicInfoData
20210828,"""	-0500""",4,"{""duration"":13,""altitude"":0.0,""distance"":1945,""calorie"":118000,""count"":0,""floor"":0,""steps"":2153}"
20210828,"""	-0500""",5,"{""duration"":123,""altitude"":0.0,""distance"":4434,""calorie"":207469,""count"":0,""floor"":0,""steps"":6889}"
20210829,"""	-0500""",5,"{""duration"":55,""altitude"":0.0,""distance"":1065,""calorie"":37735,""count"":0,""floor"":0,""steps"":1627}"
20210830,"""	-0500""",5,"{""duration"":66,""altitude"":0.0,""distance"":2754,""calorie"":156837,""count"":0,""floor"":0,""steps"":3947}"
20210831,"""	-0500""",5,"{""duration"":17,""altitude"":0.0,""distance"":213,""calorie"":5327,""count"":0,""floor"":0,""steps"":356}"
20210901,"""	-0500""",5,"{""duration"":29,""altitude"":0.0,""distance"":381,""calorie"":9562,""count"":0,""floor"":0,""steps"":648}"
20210902,"""	-0500""",5,"{""duration"":21,""altitude"":0.0,""distance"":266,""calorie"":6825,""count"":0,""floor"":0,""steps"":430}"
20210903,"""	-0500""",4,"{""duration"":20,""altitude"":0.0,""distance"":3062,""calorie"":186000,""count"":0,""floor"":0,""steps"":3243}"
20210903,"""	-0500""",5,"{""duration"":57,""altitude"":0.0,""distance"":1729,""calorie"":175313,""count"":0,""floor"":0,""steps"":2585}"
20210904,"""	-0500""",5,"{""duration"":22,""altitude"":0.0,""distance"":247,""calorie"":6926,""count"":0,""floor"":0,""steps"":469}"
20210905,"""	-0500""",4,"{""duration"":20,""altitude"":0.0,""distance"":3007,""calorie"":179000,""count"":0,""floor"":0,""steps"":3209}"
20210905,"""	-0500""",5,"{""duration"":110,""altitude"":0.0,""distance"":3157,""calorie"":155642,""count"":0,""floor"":0,""steps"":4852}"
20210906,"""	-0500""",5,"{""duration"":13,""altitude"":0.0,""distance"":147,""calorie"":2359,""count"":0,""floor"":0,""steps"":245}"
20210907,"""	-0500""",4,"{""duration"":22,""altitude"":0.0,""distance"":3276,""calorie"":203000,""count"":0,""floor"":0,""steps"":3486}"
20210907,"""	-0500""",5,"{""duration"":71,""altitude"":0.0,""distance"":1421,""calorie"":202418,""count"":0,""floor"":0,""steps"":2447}"
20210908,"""	-0500""",5,"{""duration"":13,""altitude"":0.0,""distance"":141,""calorie"":3145,""count"":0,""floor"":0,""steps"":260}"
20210909,"""	-0500""",4,"{""duration"":17,""altitude"":0.0,""distance"":2612,""calorie"":164000,""count"":0,""floor"":0,""steps"":2801}"
20210909,"""	-0500""",5,"{""duration"":44,""altitude"":0.0,""distance"":2024,""calorie"":124755,""count"":0,""floor"":0,""steps"":2595}"
20210910,"""	-0500""",5,"{""duration"":28,""altitude"":0.0,""distance"":281,""calorie"":6627,""count"":0,""floor"":0,""steps"":480}"
20210911,"""	-0500""",5,"{""duration"":39,""altitude"":0.0,""distance"":1221,""calorie"":48615,""count"":0,""floor"":0,""steps"":1770}"
20210912,"""	-0500""",4,"{""duration"":20,""altitude"":0.0,""distance"":3018,""calorie"":185000,""count"":0,""floor"":0,""steps"":3251}"
20210912,"""	-0500""",5,"{""duration"":52,""altitude"":0.0,""distance"":1732,""calorie"":106025,""count"":0,""floor"":0,""steps"":2391}"
20210913,"""	-0500""",5,"{""duration"":10,""altitude"":0.0,""distance"":103,""calorie"":2434,""count"":0,""floor"":0,""steps"":175}"
20210914,"""	-0500""",4,"{""duration"":13,""altitude"":0.0,""distance"":2007,""calorie"":119000,""count"":0,""floor"":0,""steps"":2124}"
20210914,"""	-0500""",5,"{""duration"":44,""altitude"":0.0,""distance"":1186,""calorie"":72445,""count"":0,""floor"":0,""steps"":1663}"
20210915,"""	-0500""",5,"{""duration"":42,""altitude"":0.0,""distance"":651,""calorie"":20473,""count"":0,""floor"":0,""steps"":1068}"
20210916,"""	-0500""",4,"{""duration"":20,""altitude"":0.0,""distance"":3122,""calorie"":192000,""count"":0,""floor"":0,""steps"":3304}"
20210916,"""	-0500""",5,"{""duration"":50,""altitude"":0.0,""distance"":1427,""calorie"":175932,""count"":0,""floor"":0,""steps"":2083}"
20210917,"""	-0500""",5,"{""duration"":15,""altitude"":0.0,""distance"":211,""calorie"":4742,""count"":0,""floor"":0,""steps"":371}"
20210918,"""	-0500""",5,"{""duration"":23,""altitude"":0.0,""distance"":314,""calorie"":7202,""count"":0,""floor"":0,""steps"":524}"
20210919,"""	-0500""",4,"{""duration"":21,""altitude"":0.0,""distance"":3143,""calorie"":196000,""count"":0,""floor"":0,""steps"":3366}"
20210919,"""	-0500""",5,"{""duration"":68,""altitude"":0.0,""distance"":2495,""calorie"":132542,""count"":0,""floor"":0,""steps"":3635}"
20210920,"""	-0500""",5,"{""duration"":47,""altitude"":0.0,""distance"":887,""calorie"":23911,""count"":0,""floor"":0,""steps"":1452}"
20210921,"""	-0500""",5,"{""duration"":28,""altitude"":0.0,""distance"":324,""calorie"":9139,""count"":0,""floor"":0,""steps"":553}"
20210922,"""	-0500""",5,"{""duration"":15,""altitude"":0.0,""distance"":301,""calorie"":8346,""count"":0,""floor"":0,""steps"":445}"
20210923,"""	-0500""",5,"{""duration"":20,""altitude"":0.0,""distance"":249,""calorie"":6077,""count"":0,""floor"":0,""steps"":416}"
20210924,"""	-0500""",4,"{""duration"":19,""altitude"":0.0,""distance"":2871,""calorie"":177000,""count"":0,""floor"":0,""steps"":3057}"
20210924,"""	-0500""",5,"{""duration"":48,""altitude"":0.0,""distance"":2276,""calorie"":133530,""count"":0,""floor"":0,""steps"":3014}"
20210925,"""	-0500""",5,"{""duration"":28,""altitude"":0.0,""distance"":284,""calorie"":10426,""count"":0,""floor"":0,""steps"":487}"
20210926,"""	-0500""",5,"{""duration"":32,""altitude"":0.0,""distance"":359,""calorie"":8966,""count"":0,""floor"":0,""steps"":623}"
20210927,"""	-0500""",5,"{""duration"":26,""altitude"":0.0,""distance"":268,""calorie"":5253,""count"":0,""floor"":0,""steps"":439}"
20210928,"""	-0500""",5,"{""duration"":202,""altitude"":0.0,""distance"":11081,""calorie"":489043,""count"":0,""floor"":0,""steps"":16220}"
20210929,"""	-0500""",4,"{""duration"":19,""altitude"":0.0,""distance"":2880,""calorie"":175000,""count"":0,""floor"":0,""steps"":3062}"
20210929,"""	-0500""",5,"{""duration"":43,""altitude"":0.0,""distance"":1653,""calorie"":114984,""count"":0,""floor"":0,""steps"":2191}"
20210930,"""	-0500""",5,"{""duration"":39,""altitude"":0.0,""distance"":1482,""calorie"":68954,""count"":0,""floor"":0,""steps"":2091}"
20211001,"""	-0500""",5,"{""duration"":48,""altitude"":0.0,""distance"":1170,""calorie"":44286,""count"":0,""floor"":0,""steps"":1706}"
